"Part";"Value";"Device";"Package";"Description";"ADC-RESOLUTION";"ALIASES";"BRAND";"CABLE_ASSEMBLY_31564";"CABLE_ASSEMBLY_31565";"CASE";"CERAMIC";"COLOR";"CONTACT-MATERIAL";"CONTACT_GENDER";"CONTACT_MATERIAL";"CONTACT_PLATING";"CONTACT_RESISTANCE";"CRIMP_SOCKET_FEMALE_32-28AWG_50058-8100";"CRIMP_SOCKET_FEMALE__28-26AWG_50079-8100";"CURRENT-RATING";"DATA-RAM-TYPE";"DATA-RATE";"DESIGN";"DIGI-KEY";"DISTRELEC";"DRIVE-LEVEL";"EFFICIENCY";"ESR";"FARNELL";"FLAMABILITY_RATING";"FREQUENCY";"FREQUENCY-STABILITY";"FREQUENCY_BAND";"HOUSING-MATERIAL";"IF";"IMPEDANCE";"INPUT-VOLTAGE";"INSOLATION-VOLTAGE";"INSULATION-RESISTANCE";"INTERFACE-TYPE";"INTERFACE_TYPE";"IR-REVERSE";"LOAD_CAPACITANCE";"LUMINOUS-INTENSITY";"MANUFACOR";"MANUFACTOR";"MANUFACTURER";"MATING-POST-LENGHT";"MAX-CLOCK-FREQUENCY";"MAXIMUM_DC_CURRENT";"MAX_DC_RESISTANCE";"MFR-NO";"MFR_NO";"MOUNTING-ANGLE";"MOUNTING_ANGLE";"MOUNTING_STYLE";"MOUSER";"MPN";"NUMBER-OF-ADC-CHANNELS";"NUMBER-OF-CHANNELS";"NUMBER-OF-IOS";"NUMBER-OF-OUT";"NUMBER-OF-TIMERS-COUNTERS";"NUMBER_CONTACT";"NUMBER_OF_POSITION";"NUMBER_OF_ROW";"NUMBER_PORT";"OPERATING-FORCE";"OPERATING-SUPPLY-VOLTAGE";"OPERATING-TEMPERATURE";"OPERATING-TEMPERATURE-RANG";"OPERATING-TEMPERATURE-RANGE";"OPERATING-VOLTAGE";"OPERATING_SUPPLY_VOLTAGE";"OPERATING_TEMPERATURE";"OPERATING_TEMPERATURE_RANGE";"OPERATIN_TEMPERATURE";"ORIENTATION";"OUT";"OUT-CURRENT";"OUT-TYPE";"PACKAGE";"PITCH";"POLE-NO";"POLE_NO";"POWER";"POWER-RATING";"PRICE";"PRODUCT";"PRODUCT-TYPE";"PRODUCTS";"PRODUCT_CATEGORY";"PRODUCT_TYPE";"QUALIFICATION";"RATED-CURRENT";"RATED-VOLTAGE";"RATED_CURRENT";"RATED_VOLTAGE";"RISE-TIME";"SERIES";"SHELL-PLATING";"SOCKET_51021-0200";"SOCKET_51021-0600";"SPECIFICATIONS";"SPEED";"STANDARD";"SUPPLIER";"SUPPLY-SUPPLY-CURRENT";"SUPPLY_VOLTAGE";"SWITCH-FONCTION";"TEMPERATURE_COEFFICIENT";"TERMINATION-POST-LENGHT";"TERMINATION_STYLE";"TOLERANCE";"TYPE";"U-NOM";"U_NOM";"VF";"VIEWING-ANGLE";"VOLTAGE";"VOLTAGE-RATING";"VR";"VZ_ZENER_VOLTAGE";"WAVELENGTH";"ZENER_IMPEDANCE";
"C1";"10NF_16V";"10NF_16V";"C0603";"Multilayer ceramic capacitor SMD, 10nF ±10%, 16VDC, X7R, Kemet, Case 0603, Mouser: 80-C0603C103K4RACTM";"";"";"";"";"";"0603";"X7R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"80-C0603C103K4RACTM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55°C ~ 125°C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±10%";"C0603C103K4RACTM";"";"16V";"";"";"";"";"";"";"";"";
"C2";"100NF";"100NF";"C0402";"Ceramic capacitor SMD 100nF ±5%, 16VDC, X7R, Kemet, Case 0402, C0402C104J4RACTU, MLCC, Mouser: 80-C0402C104J4R";"";"";"";"";"";"0402";"X7R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2429353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"  80-C0402C104J4R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55...+125 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"General Type MLCCs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±5%";" C0402C104J4RACTU";"16VDC";"";"";"";"";"";"";"";"";"";
"C3";"100NF";"100NF";"C0402";"Ceramic capacitor SMD 100nF ±5%, 16VDC, X7R, Kemet, Case 0402, C0402C104J4RACTU, MLCC, Mouser: 80-C0402C104J4R";"";"";"";"";"";"0402";"X7R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2429353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"  80-C0402C104J4R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55...+125 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"General Type MLCCs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±5%";" C0402C104J4RACTU";"16VDC";"";"";"";"";"";"";"";"";"";
"C4";"10UF_10V";"10UF_10V";"C0603";"Ceramic capacitor SMD 10uF ±10%, 10VDC, X5R, TDK , Case 0603, Mouser: 810-C1608X5R1A106K";"";"";"";"";"";"0603";"X5R";"";"";"";"";"";"";"";"";"";"";"";"";"445-7486-1-ND";"";"";"";"";"2211164";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TDK";"";"";"";"";"";"";"";"";"";"810-C1608X5R1A106K";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55°C ~ 85°C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±10%";"C1608X5R1A106K080AC";"";"10V";"";"";"";"";"";"";"";"";
"C6";"4,7UF_16V";"4,7UF_16V";"C0603";"Multilayer Ceramic Capacitors MLCC, SMD 4,7uF ±10%, 16VDC, X5R, YAGEO , Case 0603, Mouser: 603-CC603KRX5R7BB475";"";"";"";"";"";"0603";"X5R";"";"";"";"";"";"";"";"";"";"";"";"";"311-1785-2-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Yageo";"";"";"";"";"";"";"";"";"";"603-CC603KRX5R7BB475";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55°C ~ 85°C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±10%";"CC0603KRX5R7BB475";"";"16V";"";"";"";"";"";"";"";"";
"C7";"100NF";"100NF";"C0402";"Ceramic capacitor SMD 100nF ±5%, 16VDC, X7R, Kemet, Case 0402, C0402C104J4RACTU, MLCC, Mouser: 80-C0402C104J4R";"";"";"";"";"";"0402";"X7R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2429353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"  80-C0402C104J4R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55...+125 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"General Type MLCCs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±5%";" C0402C104J4RACTU";"16VDC";"";"";"";"";"";"";"";"";"";
"C8";"100NF";"100NF";"C0402";"Ceramic capacitor SMD 100nF ±5%, 16VDC, X7R, Kemet, Case 0402, C0402C104J4RACTU, MLCC, Mouser: 80-C0402C104J4R";"";"";"";"";"";"0402";"X7R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2429353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"  80-C0402C104J4R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55...+125 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"General Type MLCCs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±5%";" C0402C104J4RACTU";"16VDC";"";"";"";"";"";"";"";"";"";
"C9";"100NF";"100NF";"C0402";"Ceramic capacitor SMD 100nF ±5%, 16VDC, X7R, Kemet, Case 0402, C0402C104J4RACTU, MLCC, Mouser: 80-C0402C104J4R";"";"";"";"";"";"0402";"X7R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2429353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"  80-C0402C104J4R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55...+125 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"General Type MLCCs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±5%";" C0402C104J4RACTU";"16VDC";"";"";"";"";"";"";"";"";"";
"C10";"10UF_10V";"10UF_10V";"C0603";"Ceramic capacitor SMD 10uF ±10%, 10VDC, X5R, TDK , Case 0603, Mouser: 810-C1608X5R1A106K";"";"";"";"";"";"0603";"X5R";"";"";"";"";"";"";"";"";"";"";"";"";"445-7486-1-ND";"";"";"";"";"2211164";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TDK";"";"";"";"";"";"";"";"";"";"810-C1608X5R1A106K";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55°C ~ 85°C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±10%";"C1608X5R1A106K080AC";"";"10V";"";"";"";"";"";"";"";"";
"C11";"100NF";"100NF";"C0402";"Ceramic capacitor SMD 100nF ±5%, 16VDC, X7R, Kemet, Case 0402, C0402C104J4RACTU, MLCC, Mouser: 80-C0402C104J4R";"";"";"";"";"";"0402";"X7R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2429353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"  80-C0402C104J4R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55...+125 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"General Type MLCCs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±5%";" C0402C104J4RACTU";"16VDC";"";"";"";"";"";"";"";"";"";
